Exp Info, Average Accuracy Per Partition
C=100.0_gamma=0.5,79.5349577958
C=4.0_gamma=3.25,79.6145883102
C=4.0_gamma=0.75,78.9297658863
C=100.0_gamma=0.25,78.7705048575
C=8.0_gamma=4.0,79.4712533843
C=32.0_gamma=0.5,79.1845835324
C=4.0_gamma=1.0,79.1845835324
C=16.0_gamma=3.25,80.187928014
C=16.0_gamma=3.0,80.1560758082
C=1.0_gamma=3.25,79.1368052238
C=8.0_gamma=2.75,79.6942188247
C=10.0_gamma=0.25,79.0571747093
C=8.0_gamma=3.5,79.5508838987
C=4.0_gamma=4.0,79.5986622074
C=16.0_gamma=2.75,80.1242236025
C=32.0_gamma=2.25,79.7260710304
C=32.0_gamma=2.0,79.8853320592
C=4.0_gamma=2.25,79.2164357382
C=4.0_gamma=0.5,78.8182831661
C=32.0_gamma=0.25,78.834209269
C=16.0_gamma=3.5,80.1720019111
C=32.0_gamma=1.25,79.3916228699
C=32.0_gamma=1.5,79.4871794872
C=8.0_gamma=1.25,79.375696767
C=16.0_gamma=1.25,79.1527313266
C=4.0_gamma=3.5,79.5349577958
C=1.0_gamma=0.25,82.1468386686
C=10.0_gamma=0.1,81.9079471253
C=1.0_gamma=3.75,79.2005096353
C=32.0_gamma=0.75,79.4871794872
C=1.0_gamma=1.25,79.3438445612
C=64.0_gamma=0.25,78.6749482402
C=100.0_gamma=1.5,79.2005096353
C=4.0_gamma=2.75,79.5031055901
C=64.0_gamma=0.5,79.3916228699
C=16.0_gamma=1.75,79.3438445612
C=32.0_gamma=3.5,79.5827361045
C=32.0_gamma=2.75,79.646440516
C=16.0_gamma=2.25,79.9968147794
C=8.0_gamma=1.5,79.104953018
C=1.0_gamma=0.5,79.917184265
C=1.0_gamma=2.5,79.2005096353
C=32.0_gamma=3.0,79.6305144131
C=1.0_gamma=2.25,79.1368052238
C=8.0_gamma=3.25,79.6145883102
C=16.0_gamma=2.0,79.5986622074
C=64.0_gamma=1.25,79.4871794872
C=64.0_gamma=0.75,79.5031055901
C=16.0_gamma=1.5,79.3438445612
C=16.0_gamma=1.0,79.3597706641
C=16.0_gamma=4.0,80.187928014
C=32.0_gamma=3.25,79.5827361045
C=10.0_gamma=0.03,82.1468386686
C=4.0_gamma=3.75,79.5349577958
C=32.0_gamma=1.0,79.3916228699
C=64.0_gamma=1.0,79.3279184584
C=16.0_gamma=0.5,78.9297658863
C=1.0_gamma=1.0,78.9775441949
C=100.0_gamma=1.0,79.3279184584
C=4.0_gamma=1.25,79.3916228699
C=1.0_gamma=1.5,79.1686574295
C=32.0_gamma=1.75,79.6942188247
C=8.0_gamma=2.0,79.7101449275
C=1.0_gamma=4.0,79.2005096353
C=8.0_gamma=3.75,79.5827361045
C=8.0_gamma=0.75,79.1686574295
C=8.0_gamma=1.75,79.5827361045
C=10.0_gamma=0.05,82.1468386686
C=8.0_gamma=0.25,79.0731008122
C=1.0_gamma=3.0,79.1686574295
C=8.0_gamma=2.5,79.6623666189
C=1.0_gamma=1.75,79.0571747093
C=4.0_gamma=2.5,79.3916228699
C=16.0_gamma=3.75,80.187928014
C=8.0_gamma=0.5,78.6430960344
C=64.0_gamma=1.5,79.2960662526
C=100.0_gamma=0.75,79.5190316929
C=4.0_gamma=3.0,79.5190316929
C=100.0_gamma=1.25,79.2642140468
C=10.0_gamma=0.01,82.1468386686
C=1.0_gamma=0.75,78.9934702978
C=4.0_gamma=1.75,79.104953018
C=32.0_gamma=4.0,79.6305144131
C=8.0_gamma=1.0,79.4234750756
C=16.0_gamma=0.25,78.8819875776
C=10.0_gamma=0.02,82.1468386686
C=16.0_gamma=0.75,79.3279184584
C=16.0_gamma=2.5,79.9968147794
C=4.0_gamma=2.0,79.4553272814
C=32.0_gamma=2.5,79.5668100016
C=8.0_gamma=2.25,79.646440516
C=4.0_gamma=1.5,79.5190316929
C=1.0_gamma=2.75,79.2005096353
C=8.0_gamma=3.0,79.5827361045
C=4.0_gamma=0.25,79.9331103679
C=1.0_gamma=2.0,79.0890269151
C=1.0_gamma=3.5,79.2005096353
C=32.0_gamma=3.75,79.6145883102
