Exp Info, Average Accuracy Per Partition
C=4.0_gamma=3.75,9.86359668267
C=1.0_gamma=3.75,11.6553906591
C=4.0_gamma=3.25,10.0512876473
C=16.0_gamma=0.25,90.4932343955
C=16.0_gamma=3.5,9.70427760803
C=4.0_gamma=1.0,89.8221300742
C=1.0_gamma=4.0,11.0824967263
C=1.0_gamma=1.5,90.4932343955
C=16.0_gamma=1.0,11.807071148
C=16.0_gamma=4.0,9.74028808381
C=1.0_gamma=0.75,90.4932343955
C=4.0_gamma=1.5,16.5702749891
C=1.0_gamma=0.0025,90.4932343955
C=4.0_gamma=3.5,9.97490178961
C=1.0_gamma=2.75,37.5872981231
C=1.0_gamma=3.0,15.9853775644
C=16.0_gamma=1.75,10.3601047577
C=16.0_gamma=2.75,9.82540375382
C=16.0_gamma=2.5,9.94107376691
C=1.0_gamma=1.25,90.4932343955
C=1.0_gamma=0.005,90.4932343955
C=4.0_gamma=2.25,10.9482758621
C=4.0_gamma=1.75,12.8568310781
C=4.0_gamma=2.0,11.7186817983
C=16.0_gamma=1.25,10.8598865124
C=4.0_gamma=3.0,10.1003928416
C=1.0_gamma=1.75,90.4877782628
C=1.0_gamma=0.25,90.4932343955
C=1.0_gamma=0.15,90.4932343955
C=1.0_gamma=0.1,90.4932343955
C=4.0_gamma=0.75,90.4790484505
C=16.0_gamma=2.25,9.94871235268
C=4.0_gamma=2.5,10.6416412047
C=16.0_gamma=3.75,9.70646006111
C=16.0_gamma=2.0,10.1713225666
C=4.0_gamma=2.75,10.2684417285
C=16.0_gamma=0.5,89.1139240506
C=4.0_gamma=1.25,88.3566128328
C=16.0_gamma=3.0,9.77520733304
C=1.0_gamma=2.0,90.1942383239
C=1.0_gamma=2.5,88.5388476648
C=1.0_gamma=3.5,12.303579223
C=1.0_gamma=2.25,89.6671759057
C=4.0_gamma=4.0,9.79812309035
C=1.0_gamma=1.0,90.4932343955
C=16.0_gamma=3.25,9.73483195111
C=16.0_gamma=1.5,10.5467044959
C=4.0_gamma=0.25,90.4932343955
C=1.0_gamma=0.05,90.4932343955
C=1.0_gamma=0.2,90.4932343955
C=16.0_gamma=0.75,16.5713662156
C=4.0_gamma=0.5,90.4932343955
C=1.0_gamma=3.25,13.2343954605
C=1.0_gamma=0.5,90.4932343955
