Experiment Configuration, Execution Time Per Experiment
C=16.0_gamma=0.5,20.315
C=1.0_gamma=3.25,27.755
C=64.0_gamma=1.5,503.438
C=1.0_gamma=3.5,28.457
C=4.0_gamma=1.25,39.384
C=16.0_gamma=1.75,178.985
C=10.0_gamma=0.001,0.656
C=100.0_gamma=1.0E-4,0.963
C=16.0_gamma=4.0,133.888
C=64.0_gamma=0.75,156.836
C=1000.0_gamma=0.005,0.618
C=40.0_gamma=0.01,0.683
C=8.0_gamma=1.5,98.666
C=4.0_gamma=1.75,37.875
C=8.0_gamma=3.0,155.369
C=8.0_gamma=2.0,96.945
C=1.0_gamma=0.5,8.092
C=1000.0_gamma=0.03,1.498
C=32.0_gamma=3.25,371.377
C=1.0_gamma=0.75,10.136
C=100.0_gamma=1.5,1535.597
C=4.0_gamma=3.0,60.514
C=100.0_gamma=1.0,275.775
C=8.0_gamma=0.75,28.5
C=4.0_gamma=0.75,26.118
C=16.0_gamma=2.75,117.884
C=50.0_gamma=0.01,0.589
C=32.0_gamma=1.0,106.814
C=1.0_gamma=3.0,25.814
C=8.0_gamma=3.25,121.087
C=8.0_gamma=2.75,126.556
C=32.0_gamma=0.5,22.38
C=32.0_gamma=2.75,294.376
C=64.0_gamma=0.5,47.868
C=1.0_gamma=0.25,2.819
C=1.0_gamma=1.75,30.096
C=64.0_gamma=1.0,331.601
C=8.0_gamma=4.0,162.366
C=16.0_gamma=1.25,115.514
C=4.0_gamma=2.75,86.079
C=100.0_gamma=0.5,57.717
C=32.0_gamma=1.25,230.375
C=10.0_gamma=0.08,1.377
C=10.0_gamma=0.02,0.717
C=32.0_gamma=0.75,77.053
C=100.0_gamma=1.25,582.786
C=20.0_gamma=0.01,0.633
C=200.0_gamma=1.0E-4,0.785
C=32.0_gamma=1.75,226.079
C=4.0_gamma=3.25,62.958
C=100.0_gamma=0.75,157.487
C=8.0_gamma=0.5,13.924
C=16.0_gamma=3.75,115.362
C=16.0_gamma=0.25,8.414
C=10.0_gamma=0.25,7.869
C=64.0_gamma=1.25,252.242
C=300.0_gamma=0.001,0.681
C=8.0_gamma=1.0,56.234
C=200.0_gamma=0.001,0.75
C=4.0_gamma=2.5,62.199
C=32.0_gamma=2.0,197.1
C=32.0_gamma=3.5,310.791
C=64.0_gamma=0.25,11.848
C=4.0_gamma=1.0,25.861
C=16.0_gamma=3.0,131.96
C=30.0_gamma=0.01,0.647
C=8.0_gamma=3.5,147.628
C=32.0_gamma=2.5,276.175
C=4.0_gamma=3.75,64.208
C=1.0_gamma=2.5,24.116
C=10.0_gamma=0.1,1.726
C=8.0_gamma=1.75,68.346
C=1.0_gamma=2.25,24.023
C=100.0_gamma=0.25,12.368
C=1000.0_gamma=0.01,0.585
C=1.0_gamma=2.0,31.404
C=1000.0_gamma=0.003,0.753
C=16.0_gamma=2.0,182.986
C=1.0_gamma=1.0,16.948
C=1.0_gamma=1.25,19.645
C=32.0_gamma=3.0,354.399
C=10.0_gamma=0.03,0.632
C=16.0_gamma=1.0,69.699
C=1.0_gamma=4.0,26.614
C=1.0_gamma=1.5,14.566
C=8.0_gamma=1.25,52.187
C=1000.0_gamma=0.001,0.692
C=8.0_gamma=3.75,174.482
C=4.0_gamma=2.25,57.576
C=1000.0_gamma=0.02,0.998
C=5.0_gamma=0.01,0.624
C=10.0_gamma=0.05,0.891
C=1000.0_gamma=0.006,0.773
C=32.0_gamma=4.0,285.714
C=1000.0_gamma=0.008,0.684
C=10.0_gamma=0.01,0.684
C=1.0_gamma=1.0E-4,1.143
C=4.0_gamma=3.5,63.615
C=16.0_gamma=2.5,115.332
C=16.0_gamma=2.25,122.098
C=32.0_gamma=0.25,11.599
C=1.0_gamma=2.75,28.39
C=32.0_gamma=1.5,145.263
C=8.0_gamma=2.5,152.639
C=32.0_gamma=3.75,371.684
C=400.0_gamma=0.001,0.621
C=16.0_gamma=3.25,139.865
C=4.0_gamma=0.25,3.473
C=16.0_gamma=3.5,132.734
C=1.0_gamma=3.75,18.425
C=4.0_gamma=2.0,47.031
C=4.0_gamma=0.5,10.208
C=4.0_gamma=1.5,39.704
C=8.0_gamma=0.25,5.411
C=16.0_gamma=0.75,44.703
C=8.0_gamma=2.25,135.592
C=100.0_gamma=0.01,0.706
C=4.0_gamma=4.0,91.242
C=100.0_gamma=0.001,0.628
C=16.0_gamma=1.5,243.094
C=32.0_gamma=2.25,180.773
